Prix,year,origin,firstCirculationDate,firstHand,energy,gearbox,externalColor,doors,critAir,owners,mileage_value,co2_value,powerDIN_value,ratedHorsePower_value
19780.0,2023,Importé,2023-09-24,Non,Essence,Manuelle,jaune,5.0,1,2.0,2245,115,100,5
26020.0,2022,France,2022-07-07,Non,Essence,Automatique,Bleu Voltaïque,5.0,1,1.0,94405,130,131,7
16510.0,2021,France,2021-01-06,Non,Essence,Manuelle,rouge verni,5.0,1,1.0,40500,124,95,5
16180.0,2015,France,2015-07-20,Oui,Essence,Manuelle,blanc,5.0,1,1.0,89746,129,116,6
27930.0,2020,France,2020-10-13,Oui,Essence,Automatique,noir,5.0,1,1.0,66452,109,131,6
18540.0,2020,France,2020-04-10,Non,Essence,Automatique,gris foncé,5.0,1,1.0,121800,106,115,6
21460.0,2022,Importé,2022-08-30,Non,Essence,Manuelle,gris,5.0,1,1.0,35976,106,100,5
14150.0,2016,France,2016-07-29,Non,Essence,Manuelle,gris anthracite verni,5.0,1,4.0,129313,110,131,7
21580.0,2017,France,2017-07-31,Oui,Diesel,Automatique,blanc verni,5.0,2,4.0,173760,128,190,10
20020.0,2022,France,2022-02-20,Non,Essence,Manuelle,rouge,5.0,1,4.0,47149,124,100,5
29460.0,2020,France,2020-10-26,Oui,Essence,Manuelle,rouge metal,2.0,1,4.0,41245,156,184,10
20500.0,2017,France,2017-08-31,Non,Diesel,Automatique,noir metal,5.0,2,3.0,131760,120,161,8
65520.0,2021,France,2021-03-24,Oui,Diesel,Automatique,Gris,5.0,2,3.0,89651,189,347,23
70070.0,2016,France,2016-12-02,Non,Essence,Automatique,gris foncé metal,5.0,1,5.0,60258,209,367,26
21640.0,2022,France,2022-04-06,Non,Diesel,Manuelle,blanc,5.0,2,2.0,26970,129,116,6
10420.0,2017,France,2017-04-03,Oui,Diesel,Manuelle,blanc verni,5.0,2,2.0,195868,82,90,4
117780.0,2023,France,2023-10-16,Oui,Essence,Automatique,Vert,2.0,1,2.0,17096,207,354,24
26760.0,2020,France,2020-05-23,Non,Essence,Automatique,PLATINIUM,5.0,1,2.0,58403,115,131,7
31460.0,2021,France,2022-01-22,Non,Essence,Manuelle,rouge,5.0,1,2.0,47323,133,150,8
57570.0,2022,France,2022-10-12,Oui,Hybride essence électrique,Automatique,Daytonagrau Perleffekt,5.0,1,2.0,24013,133,150,8
32380.0,2023,Importé,2023-11-24,Non,Essence,Manuelle,vert,5.0,1,2.0,21391,126,130,7
35090.0,2023,Importé,2023-09-12,Oui,Essence,Manuelle,noir,5.0,1,2.0,1335,140,130,7
51480.0,2018,Importé,2018-06-21,Non,Essence,Manuelle,jaune verni,2.0,1,2.0,30600,299,421,33
70040.0,2020,France,2020-09-28,Oui,Diesel,Automatique,noir,5.0,2,2.0,115034,166,286,18
26200.0,2020,France,2020-12-24,Oui,Essence,Manuelle,noir,5.0,1,2.0,102940,125,109,6
32580.0,2023,France,2023-06-28,Oui,Essence,Automatique,gris,5.0,1,2.0,53622,135,131,7
43580.0,2023,Importé,2023-04-06,Non,Diesel,Automatique,noir,5.0,1,2.0,3516,140,130,7
88040.0,2022,France,2022-06-06,Oui,Hybride essence électrique,Automatique,gris,5.0,1,2.0,17493,41,265,16
32190.0,2023,France,2023-06-10,Oui,Diesel,Manuelle,GRIS ARTENSE,5.0,2,2.0,12658,116,131,7
73480.0,2022,France,2022-06-27,Oui,Hybride essence électrique,Automatique,gris,5.0,1,2.0,42026,58,340,22
129680.0,2022,France,2022-08-31,Oui,Essence,Automatique,jaune opaque (verni sans reflet),2.0,1,2.0,16520,223,510,41
24870.0,2022,France,2022-08-14,Oui,Essence,Manuelle,gris,5.0,1,2.0,65539,132,140,7
39200.0,2023,France,2023-02-28,Oui,Diesel,Manuelle,P. opaque Blanc Icy,4.0,2,2.0,1210,238,120,7
22870.0,2015,France,2015-12-05,Non,Diesel,Automatique,gris metal,5.0,2,3.0,139924,109,170,9
19780.0,2022,France,2022-06-12,Oui,Essence,Automatique,NOIR,5.0,1,3.0,27197,135,110,6
35660.0,2021,France,2021-03-05,Non,Electrique,Automatique,gris foncé,5.0,0,1.0,45751,0,39,1
19510.0,2021,France,2021-04-03,Non,Essence,Manuelle,gris,5.0,1,2.0,59791,110,116,6
39250.0,2019,France,2019-10-26,Non,Diesel,Automatique,gris metal,5.0,2,2.0,63196,131,190,10
22190.0,2022,Importé,2022-04-24,Non,Hybride essence électrique,Manuelle,blanc,5.0,1,2.0,25699,135,125,6
48940.0,2020,France,2020-08-06,Non,Diesel,Automatique,Bleu,5.0,2,5.0,89925,183,259,16
50380.0,2017,France,2017-07-29,Non,Essence,Automatique,blanc,5.0,1,5.0,66864,189,367,25
52530.0,2019,France,2019-11-05,Non,Diesel,Automatique,Noir,5.0,2,3.0,129753,173,286,18
30300.0,2020,France,2020-06-29,Oui,Essence,Automatique,BLANC GLACIER,5.0,1,3.0,61111,121,150,8
8960.0,2010,France,2011-01-29,Oui,Essence,Manuelle,gris clair metal,5.0,2,3.0,59304,131,86,5
14860.0,2018,France,2018-08-11,Non,Diesel,Manuelle,BLEU,5.0,2,2.0,125249,104,110,5
24190.0,2019,France,2019-11-26,Oui,Diesel,Automatique,noir,5.0,2,2.0,99263,120,161,8
33930.0,2021,France,2021-08-16,Oui,Diesel,Automatique,blanc,5.0,2,2.0,105263,98,131,6
15590.0,2018,France,2018-12-15,Non,Essence,Manuelle,noir,5.0,1,2.0,81727,97,110,5
25280.0,2022,France,2022-01-12,Oui,Electrique,Automatique,gris,5.0,0,2.0,14375,0,122,6
34200.0,2023,France,2023-10-07,Non,Diesel,Automatique,Gris,5.0,2,1.0,8025,137,131,7
11860.0,2018,France,2018-04-07,Oui,Essence,Manuelle,GRIS PLATINE,5.0,1,1.0,57541,109,90,5
17490.0,2018,France,2018-11-19,Non,Diesel,Automatique,gris,5.0,2,2.0,101741,106,120,6
15940.0,2018,France,2018-07-03,Non,Essence,Manuelle,blanc,3.0,1,2.0,87039,107,82,4
36280.0,2022,France,2022-01-05,Non,Essence,Automatique,gris,3.0,1,2.0,42460,160,150,8
58620.0,2020,France,2020-12-25,Non,Hybride diesel électrique,Automatique,gris metal,5.0,2,1.0,108883,151,235,14
38040.0,2023,France,2024-11-01,Non,Diesel,Manuelle,blanc,4.0,2,1.0,11,186,131,7
21120.0,2023,France,2023-04-16,Oui,Diesel,Manuelle,gris foncé,5.0,2,1.0,7265,111,102,5
174380.0,2017,Importé,2017-04-28,Oui,Essence,Automatique,orange metal,2.0,1,1.0,15478,111,570,5
20140.0,2021,France,2021-12-20,Non,Diesel,Manuelle,blanc,5.0,2,2.0,42000,128,116,6
34480.0,2018,France,2018-08-05,Non,Diesel,Automatique,noir,5.0,2,4.0,188945,159,259,16
35950.0,2021,Importé,2021-02-08,Oui,Diesel,Manuelle,rouge foncé,5.0,2,4.0,29864,159,259,8
39220.0,2022,Importé,2022-09-19,Non,Diesel,Automatique,gris foncé metal,4.0,2,4.0,67122,132,190,10
27100.0,2022,France,2022-06-13,Non,Diesel,Manuelle,noir,5.0,2,4.0,54735,118,115,6
71920.0,2017,France,2017-03-14,Non,Essence,Automatique,noir metal,2.0,1,4.0,31088,195,265,17
17580.0,2017,Importé,2018-02-01,Oui,Diesel,Manuelle,blanc,5.0,1,4.0,87175,109,100,5
27960.0,2019,France,2019-11-29,Non,Essence,Automatique,noir verni,5.0,1,2.0,81900,126,136,7
43090.0,2011,France,2011-07-05,Non,Essence,Manuelle,vert,3.0,2,2.0,71668,225,305,21
38150.0,2021,France,2021-11-08,Non,Diesel,Automatique,Gris,5.0,2,2.0,54642,140,136,7
19610.0,2021,France,2021-12-09,Oui,Essence,Manuelle,Bleu,5.0,1,2.0,68846,119,101,5
19610.0,2021,France,2021-12-09,Oui,Essence,Manuelle,Bleu,5.0,1,2.0,68846,119,101,5
13210.0,2014,France,2014-12-29,Non,Essence,Manuelle,Gris Mineral/Ice Silver,5.0,1,2.0,113987,153,116,7
61460.0,2023,France,2023-01-11,Oui,Hybride essence électrique,Automatique,NOIR PERLA NERA,5.0,1,2.0,3439,41,200,11
145080.0,2018,France,2018-10-03,Non,Essence,Automatique,noir,2.0,1,2.0,52650,180,420,30
21310.0,2020,Importé,2020-03-08,Non,Essence,Manuelle,noir,5.0,1,2.0,87623,107,115,6
25900.0,2021,France,2021-03-24,Oui,Diesel,Manuelle,BLANC,4.0,2,2.0,52704,223,120,7
29410.0,2021,France,2021-06-29,Oui,Essence,Automatique,rouge,5.0,1,2.0,48250,136,150,8
31230.0,2023,France,2023-09-18,Non,Essence,Manuelle,bleu,5.0,1,2.0,13,125,155,8
51800.0,2020,France,2020-11-04,Oui,Diesel,Automatique,or verni,5.0,2,2.0,125080,153,245,14
83980.0,2018,France,2018-06-16,Non,Diesel,Automatique,noir,5.0,2,3.0,113400,219,340,24
27730.0,2020,France,2020-04-03,Oui,Electrique,Automatique,rouge foncé,5.0,0,3.0,56720,0,39,1
24180.0,2023,France,2023-08-04,Non,Essence,Manuelle,noir,5.0,1,3.0,11,136,125,6
10110.0,2019,France,2019-02-27,Oui,Diesel,Manuelle,platine,5.0,2,3.0,48043,85,75,4
43120.0,2024,France,2024-10-04,Oui,Diesel,Manuelle,blanc,4.0,2,3.0,1,230,150,8
38720.0,2019,France,2019-07-26,Non,Diesel,Manuelle,blanc verni,4.0,2,2.0,77644,159,125,5
32250.0,2020,France,2020-11-18,Oui,Diesel,Automatique,GRIS PLATINIUM,5.0,2,2.0,117420,128,177,9
12820.0,2020,France,2020-02-17,Non,Diesel,Manuelle,blanc,4.0,2,1.0,131253,112,90,5
9970.0,2015,France,2015-11-22,Non,Diesel,Manuelle,blanc,4.0,2,2.0,183150,109,114,6
39980.0,2023,Importé,2023-11-24,Non,Diesel,Manuelle,blanc opaque (verni sans reflet),4.0,2,2.0,125,148,131,5
26210.0,2017,France,2017-05-19,Non,Diesel,Automatique,noir,5.0,2,1.0,127727,116,190,10
31030.0,2024,France,2024-10-28,Oui,Essence,Automatique,noir metal,5.0,1,1.0,357,141,131,7
27120.0,2020,France,2020-09-19,Oui,Essence,Automatique,blanc opaque (verni sans reflet),5.0,1,1.0,52864,109,131,6
13330.0,2019,France,2019-01-02,Non,Essence,Manuelle,gris foncé,5.0,1,2.0,89946,104,82,4
229230.0,2021,Importé,2021-11-02,Oui,Essence,Automatique,argent metal,2.0,1,2.0,14396,241,450,34
22400.0,2022,France,2022-07-31,Non,Essence,Manuelle,gris,5.0,1,2.0,17509,121,101,5
29730.0,2020,Importé,2020-06-23,Oui,Hybride essence électrique,Automatique,gris foncé metal,5.0,1,2.0,42697,42,224,5
23110.0,2023,France,2023-12-09,Non,Diesel,Manuelle,NOIR PERLA,5.0,2,1.0,17505,106,102,5
43030.0,2020,Importé,2021-01-14,Non,Diesel,Automatique,bleu marine metal,5.0,2,1.0,81658,133,190,10
30760.0,2020,Importé,2020-05-05,Oui,Diesel,Automatique,gris foncé,5.0,1,1.0,81327,118,184,10
12630.0,2018,France,2018-08-15,Oui,Diesel,Manuelle,blanc,4.0,2,1.0,138890,110,75,5
21260.0,2023,France,2023-01-09,Oui,Essence,Manuelle,gris foncé,5.0,1,1.0,9392,124,95,5
22980.0,2007,Importé,2007-11-12,Non,Essence,Automatique,argent metal,2.0,2,1.0,61525,222,231,15
36560.0,2020,France,2020-04-25,Non,Diesel,Automatique,blanc opaque (verni sans reflet),5.0,2,1.0,125437,144,190,11
39880.0,2017,France,2017-07-08,Non,Diesel,Automatique,noir metal,4.0,2,2.0,98534,193,385,27
20500.0,2021,France,2021-08-09,Oui,Essence,Automatique,CHAMPAGNE,5.0,1,2.0,60053,149,131,6
33910.0,2023,France,2023-01-10,Oui,Essence,Manuelle,Deep Black Pearlescent,5.0,1,2.0,11543,141,150,8
21780.0,2024,France,2024-06-16,Non,Essence,Manuelle,rouge,5.0,1,2.0,11,116,91,5
36770.0,2023,France,2024-01-25,Non,Diesel,Manuelle,platine,5.0,2,2.0,12,129,131,7
53740.0,2020,France,2020-04-13,Non,Diesel,Automatique,bleu foncé,5.0,2,3.0,59761,153,245,14
37780.0,2013,France,2013-03-13,Non,Essence,Automatique,noir,5.0,1,3.0,117180,226,420,31
205200.0,2020,Importé,2020-03-05,Non,Essence,Automatique,blanc verni,2.0,1,2.0,20768,205,450,34
27950.0,2023,France,2023-05-16,Non,Diesel,Manuelle,GRIS GRAPHITE,5.0,2,1.0,25228,133,131,7
11280.0,2013,France,2014-12-01,Non,Diesel,Manuelle,gris metal,5.0,2,2.0,153717,117,116,6
20020.0,2023,Importé,2023-09-30,Non,Essence,Manuelle,rouge,5.0,1,2.0,10493,119,75,4
27820.0,2022,Importé,2022-04-03,Oui,Diesel,Manuelle,gris foncé,5.0,2,2.0,27741,119,116,6
66090.0,2021,France,2021-02-09,Non,Hybride essence électrique,Automatique,gris foncé,5.0,1,2.0,35813,57,184,10
25280.0,2019,Importé,2019-07-18,Oui,Diesel,Manuelle,gris clair,5.0,1,2.0,82207,57,150,8
24200.0,2016,France,2017-01-22,Oui,Essence,Manuelle,noir metal,2.0,1,2.0,78413,154,160,9
32470.0,2021,France,2021-10-17,Oui,Essence,Manuelle,blanc nacre,2.0,1,2.0,33801,155,184,10
132850.0,2023,Importé,2023-06-11,Oui,Essence,Automatique,blanc verni,4.0,1,2.0,37,155,390,32
20140.0,2023,France,2024-01-23,Oui,Essence,Manuelle,rouge nacre,5.0,1,2.0,26482,117,91,5
43180.0,2023,France,2024-03-01,Oui,Diesel,Automatique,Teinte spéciale Blanc Nacré,5.0,2,2.0,33184,137,131,7
37180.0,2021,France,2021-03-26,Oui,Hybride essence électrique,Automatique,BLANC BANQUISE,5.0,1,2.0,33655,31,181,10
83600.0,2023,Importé,2024-01-19,Non,Hybride essence électrique,Automatique,Vert,5.0,1,2.0,4269,31,265,16
39340.0,2023,Importé,2023-02-13,Oui,Essence,Automatique,blanc,5.0,1,2.0,18054,143,130,7
51830.0,2023,France,2023-03-05,Non,Hybride essence électrique,Automatique,gris foncé metal,5.0,1,1.0,35409,48,129,7
347980.0,2020,Importé,2020-03-17,Oui,Essence,Automatique,bleu clair verni,2.0,1,1.0,9360,303,520,44
18270.0,2017,France,2018-07-01,Non,Diesel,Manuelle,gris,5.0,2,2.0,109123,99,110,5
18750.0,2023,France,2023-12-25,Non,Electrique,Automatique,bleu,5.0,0,2.0,6343,0,45,2
47280.0,2024,France,2024-09-02,Oui,Electrique,Automatique,blanc,4.0,0,2.0,6600,0,95,5
31570.0,2018,France,2018-05-04,Non,Diesel,Automatique,noir,5.0,2,2.0,94019,129,170,9
42380.0,2018,France,2018-04-21,Non,Essence,Automatique,noir metal,5.0,1,3.0,169812,189,367,25
16260.0,2019,France,2019-12-26,Oui,Essence,Manuelle,noir,5.0,1,3.0,86257,104,110,5
14410.0,2020,France,2020-12-29,Oui,Essence,Manuelle,gris foncé,5.0,1,3.0,80164,113,90,5
18580.0,2021,France,2021-09-29,Non,Essence,Manuelle,BLANC,5.0,1,2.0,79493,104,110,5
26150.0,2023,Importé,2023-09-22,Non,Diesel,Manuelle,bleu,5.0,1,2.0,21838,104,110,5
32900.0,2022,France,2023-08-01,Non,Diesel,Manuelle,bleu,5.0,2,2.0,40282,154,150,8
34390.0,2021,France,2021-02-23,Non,Diesel,Automatique,bleu,5.0,2,1.0,32494,153,150,8
18040.0,2020,France,2020-03-24,Oui,Essence,Automatique,gris foncé,5.0,1,1.0,77832,133,140,7
34360.0,2022,France,2022-08-23,Oui,Hybride essence électrique,Automatique,bleu foncé,5.0,1,1.0,95583,130,152,8
15880.0,2018,France,2019-01-27,Non,Essence,Automatique,BLANC BANQUISE,5.0,1,3.0,120871,110,110,6
23380.0,2013,France,2013-10-11,Non,Diesel,Automatique,noir,5.0,2,3.0,152334,168,170,10
13640.0,2019,Importé,2019-02-02,Non,Essence,Manuelle,gris,5.0,1,3.0,36306,104,82,4
23350.0,2019,France,2020-11-01,Non,Essence,Manuelle,gris metal,5.0,1,3.0,59416,143,140,8
27540.0,2022,France,2022-04-10,Non,Essence,Automatique,rouge,5.0,1,3.0,18784,130,140,7
20460.0,2021,France,2021-03-24,Oui,Essence,Manuelle,gris foncé,5.0,1,3.0,76430,133,110,6
30730.0,2020,France,2020-08-25,Oui,Diesel,Manuelle,gris metal,5.0,2,3.0,12152,108,116,6
24520.0,2015,France,2016-04-01,Non,Diesel,Automatique,noir verni,4.0,2,5.0,162400,111,170,9
12240.0,2012,France,2012-09-16,Non,Diesel,Manuelle,gris metal,5.0,2,2.0,97812,148,150,8
77260.0,2020,France,2020-05-10,Oui,Essence,Automatique,noir metal,5.0,1,2.0,66674,253,430,33
38370.0,2024,France,2024-10-22,Oui,Essence,Automatique,rouge,5.0,1,2.0,1,128,130,7
16370.0,2016,France,2016-08-30,Non,Essence,Manuelle,bleu metal,3.0,1,2.0,93600,132,130,7
6790.0,2009,France,2009-05-18,Non,Essence,Automatique,gris metal,5.0,2,2.0,127440,159,105,6
31880.0,2023,Importé,2023-08-31,Non,Hybride essence électrique,Automatique,bleu,5.0,1,2.0,10568,133,140,7
78730.0,2022,Importé,2022-04-14,Non,Hybride essence électrique,Automatique,Noir,5.0,1,2.0,17234,39,265,16
33300.0,2019,France,2019-10-20,Non,Essence,Manuelle,brun,5.0,1,2.0,76398,155,150,8
11550.0,2019,France,2019-09-12,Oui,Diesel,Manuelle,blanc,4.0,2,2.0,78909,112,90,5
33260.0,2023,Importé,2023-05-22,Non,Hybride essence électrique,Automatique,noir,5.0,1,2.0,3291,32,141,7
36730.0,2022,France,2022-06-15,Non,Essence,Automatique,noir,5.0,1,2.0,28599,32,150,8
24180.0,2020,France,2021-01-19,Non,Essence,Manuelle,GRIS ARTENSE,5.0,1,1.0,65864,105,101,5
15780.0,2019,France,2019-03-21,Oui,Essence,Manuelle,gris,5.0,1,1.0,55512,106,95,5
15500.0,2020,France,2020-03-22,Non,Essence,Manuelle,BLANC,5.0,1,2.0,34932,103,101,5
24980.0,2024,France,2024-06-25,Non,Bicarburation essence GPL,Manuelle,kaki,5.0,1,2.0,13,114,101,5
24360.0,2022,France,2022-04-05,Non,Essence,Automatique,gris clair,5.0,1,1.0,32889,142,140,7
59390.0,2015,France,2015-02-12,Non,Diesel,Automatique,bleu,5.0,2,5.0,186682,229,340,24
9110.0,2011,France,2011-05-05,Non,Essence,Manuelle,noir metal,3.0,2,5.0,61560,129,101,6
37360.0,2021,France,2021-05-17,Oui,Diesel,Automatique,blanc,5.0,2,5.0,59751,142,190,10
13660.0,2015,France,2016-01-21,Non,Diesel,Manuelle,gris clair,5.0,2,1.0,147481,105,116,6
45960.0,2024,France,2024-09-23,Non,Diesel,Automatique,Noir Perla Nera P. M.,5.0,2,1.0,2420,146,131,7
53050.0,2021,France,2021-07-03,Non,Diesel,Automatique,Gris,5.0,2,1.0,76372,159,163,8
19700.0,2018,France,2018-09-16,Non,Essence,Automatique,gris foncé metal,5.0,1,5.0,85260,132,131,7
68300.0,2024,France,2024-03-29,Oui,Diesel,Automatique,gris,5.0,2,5.0,29609,156,163,9
12060.0,2016,France,2016-04-22,Non,Diesel,Manuelle,gris,5.0,2,3.0,135450,108,120,6
16100.0,2020,France,2021-08-01,Non,Electrique,Automatique,ROUGE FONCE,5.0,0,3.0,48260,108,72,2
23970.0,2022,France,2023-01-13,Non,Essence,Manuelle,gris,5.0,1,3.0,45553,130,110,6
22570.0,2017,France,2017-08-11,Non,Diesel,Automatique,noir,2.0,2,3.0,97010,104,116,6
24180.0,2021,France,2021-07-22,Non,Essence,Automatique,NOIR,5.0,1,2.0,28302,139,116,6
53350.0,2024,France,2024-05-15,Oui,Diesel,Automatique,blanc,3.0,2,2.0,1,251,140,7
25590.0,2024,Importé,2025-01-21,Non,Essence,Manuelle,bleu,5.0,1,2.0,12,133,95,5
23820.0,2024,France,2024-02-24,Non,Essence,Manuelle,noir metal,4.0,1,1.0,61,118,95,5
24510.0,2012,France,2012-02-02,Non,Diesel,Automatique,gris foncé,5.0,2,4.0,215600,198,306,20
25200.0,2021,France,2021-07-15,Non,Diesel,Manuelle,gris,5.0,2,1.0,52440,129,116,6
20330.0,2019,France,2019-11-05,Non,Hybride essence électrique,Automatique,blanc,5.0,1,1.0,64829,90,99,5
68730.0,2023,Importé,2023-09-26,Non,Diesel,Automatique,noir verni,5.0,2,1.0,63,142,150,8
28300.0,2023,France,2023-11-13,Oui,Diesel,Automatique,Gris,5.0,2,1.0,6993,120,131,7
22580.0,2020,France,2020-06-29,Oui,Diesel,Automatique,gris,5.0,2,1.0,124625,123,136,7
28130.0,2002,Importé,2002-03-06,Non,Diesel,Manuelle,blanc verni,5.0,5,2.0,193828,280,113,9
43180.0,2023,France,2023-11-17,Non,Essence,Automatique,rouge,5.0,1,2.0,12,129,130,7
15860.0,2022,Importé,2022-10-17,Non,Hybride essence électrique,Manuelle,gris,3.0,1,2.0,8602,106,70,4
190640.0,2021,Importé,2021-07-29,Non,Essence,Automatique,vert foncé metal,2.0,1,2.0,31719,205,450,34
16950.0,2019,France,2019-10-17,Non,Diesel,Manuelle,gris clair,5.0,2,2.0,69195,111,90,5
41020.0,2020,France,2020-03-24,Oui,Diesel,Automatique,beige,5.0,2,2.0,53668,158,180,10
32980.0,2020,France,2021-04-01,Non,Essence,Automatique,blanc,5.0,1,2.0,23263,128,180,10
41320.0,2023,France,2023-03-13,Non,Diesel,Automatique,noir,5.0,2,1.0,32436,136,136,7
13320.0,2018,France,2018-07-02,Non,Essence,Manuelle,autre,5.0,1,2.0,40096,104,82,4
83380.0,2019,France,2019-03-30,Non,Essence,Automatique,gris,4.0,1,3.0,48600,182,340,23
18580.0,2022,France,2022-12-28,Non,Essence,Manuelle,blanc,5.0,1,2.0,11780,121,75,4
30980.0,2022,France,2022-02-03,Oui,Essence,Automatique,orange,5.0,1,2.0,57300,136,130,7
25640.0,2016,France,2016-06-28,Non,Diesel,Automatique,noir metal,5.0,2,2.0,99454,159,177,10
8880.0,2007,France,2007-02-10,Non,Diesel,Automatique,gris foncé metal,5.0,3,2.0,200872,159,140,8
